2021-06-01 23:29:49.538 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 55 ] - Starting BusinessApplication using Java 1.8.0_281 on ElliotsMacBook-Pro.local with PID 68509 (/Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework/lk-business/target/classes started by elliot in /Volumes/Application/Java/IDEA-WorkSpace/demo/SpringCloudFormework)
2021-06-01 23:29:49.541 - [ DEBUG ] [ com.lucky.kali.business.BusinessApplication : 56 ] - Running with Spring Boot v2.5.0, Spring v5.3.7
2021-06-01 23:29:49.542 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 667 ] - The following profiles are active: local
2021-06-01 23:29:50.303 - [ WARN  ] [ org.mybatis.spring.mapper.ClassPathMapperScanner : 44 ] - No MyBatis mapper was found in '[com/lucky/kali/business/mapper]' package. Please check your configuration.
2021-06-01 23:29:50.607 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-7002"]
2021-06-01 23:29:50.608 - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-06-01 23:29:50.609 - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-01 23:29:50.685 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-06-01 23:29:51.027 - [ INFO  ] [ c.a.d.s.b.a.DruidDataSourceAutoConfigure : 56 ] - Init DruidDataSource
2021-06-01 23:29:51.301 - [ INFO  ] [ com.alibaba.druid.pool.DruidDataSource : 990 ] - {dataSource-1} inited
2021-06-01 23:29:51.616 - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Starting ProtocolHandler ["http-nio-7002"]
2021-06-01 23:29:51.652 - [ INFO  ] [ c.a.cloud.nacos.registry.NacosServiceRegistry : 75 ] - nacos registry, DEFAULT_GROUP lk-business 192.168.1.47:7002 register finished
2021-06-01 23:29:51.664 - [ INFO  ] [ com.lucky.kali.business.BusinessApplication : 61 ] - Started BusinessApplication in 2.605 seconds (JVM running for 3.155)
2021-06-01 23:30:08.048 - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring DispatcherServlet 'dispatcherServlet'
